query_set,system,query_type,queries,precision@3,recall@3,mrr,ndcg@3,hit@1
Mehrsprachig n=18,Dense,content,3.0,0.0,0.0,0.0,0.0,0.0
Mehrsprachig n=18,Dense,broad_topic,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,overall,18.0,0.33333333333333326,1.0,0.898148148148148,0.923940541865081,0.8333333333333334
Mehrsprachig n=18,Hybrid_alpha_0.25,exam,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,numerical,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,responsible_person,3.0,0.3333333333333333,1.0,0.7777777777777777,0.8333333333333334,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.25,semester,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.25,content,3.0,0.3333333333333333,1.0,0.7777777777777777,0.8333333333333334,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.25,broad_topic,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.50,overall,18.0,0.3148148148148147,0.9444444444444444,0.8888888888888888,0.9034366392857175,0.8333333333333334
Mehrsprachig n=18,Hybrid_alpha_0.50,exam,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.50,numerical,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.50,responsible_person,3.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.50,semester,3.0,0.3333333333333333,1.0,1.0,1.0,1.0
Mehrsprachig n=18,Hybrid_alpha_0.50,content,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
Mehrsprachig n=18,Hybrid_alpha_0.50,broad_topic,3.0,0.3333333333333333,1.0,0.8333333333333334,0.8769765845238192,0.6666666666666666
